 ,Area1,Mean1,StdDev1,Min1,Max1,Area2,Mean2,StdDev2,Min2,Max2
1,27.463,7747.123,1224.508,5282,9479,27.463,2574.508,61.755,2453,2735
2,27.463,7679.846,1176.734,5269,9532,27.463,2543.400,65.830,2400,2710
3,27.463,7653.615,1193.556,5103,9389,27.463,2540.877,62.258,2406,2718
4,27.463,7630.677,1223.098,4910,9671,27.463,2539.938,59.944,2413,2711
5,27.463,7622.938,1189.492,5137,9424,27.463,2532.354,73.771,2358,2747
6,27.463,7603.892,1172.140,5105,9294,27.463,2545.277,62.130,2433,2737
7,27.463,7607.246,1187.676,4965,9383,27.463,2542.923,58.080,2440,2704
8,27.463,7587.800,1187.324,5021,9495,27.463,2531.539,62.794,2402,2701
9,27.463,7518.308,1294.328,4286,9462,27.463,2548.046,74.329,2393,2736
10,27.463,7530.277,1304.016,4388,9451,27.463,2544.646,56.023,2455,2718
11,27.463,7542.108,1265.627,4175,9666,27.463,2546.261,65.374,2432,2723
12,27.463,7511.416,1273.344,4253,9578,27.463,2543.539,68.690,2393,2756
13,27.463,7502.892,1251.659,4274,9493,27.463,2545.969,69.156,2418,2764
14,27.463,7484.892,1266.296,4270,9614,27.463,2554.108,67.356,2422,2705
15,27.463,7482.292,1275.679,4234,9492,27.463,2535.123,66.920,2393,2700
16,27.463,7422.215,1250.859,4443,9142,27.463,2509.415,65.768,2339,2686
17,27.463,7509.031,1158.044,4957,9222,27.463,2496.246,60.524,2309,2649
18,27.463,7479.277,1123.381,5013,9227,27.463,2501.600,68.708,2359,2667
19,27.463,7487.354,1149.861,5052,9236,27.463,2488.785,60.237,2372,2634
20,27.463,7406.738,1153.590,4800,9275,27.463,2503.723,61.447,2389,2671
21,27.463,7508.369,1158.618,4965,9346,27.463,2490.769,58.389,2403,2675
22,27.463,7478.954,1104.519,5204,9234,27.463,2506.185,71.445,2389,2681
23,27.463,7455.108,1192.336,4517,9315,27.463,2503.985,67.203,2364,2718
24,27.463,7446.877,1196.810,4669,9142,27.463,2496.969,60.237,2353,2679
25,27.463,7456.615,1162.433,4998,9202,27.463,2490.246,58.197,2355,2655
26,27.463,7451.000,1153.071,5000,9081,27.463,2491.815,61.572,2372,2635
27,27.463,7479.769,1155.626,5011,9206,27.463,2490.739,53.536,2331,2598
28,27.463,7467.923,1175.240,5002,9091,27.463,2493.585,58.579,2373,2667
29,27.463,7481.754,1147.055,5034,9174,27.463,2492.892,68.462,2368,2675
30,27.463,7499.385,1141.488,5082,9381,27.463,2487.461,61.149,2371,2618
31,27.463,7473.969,1113.691,5150,9191,27.463,2479.815,59.327,2333,2670
32,27.463,7511.169,1143.343,5116,9063,27.463,2485.846,59.997,2379,2634
33,27.463,7508.815,1129.020,5069,9082,27.463,2490.585,59.832,2372,2624
34,27.463,7484.338,1130.926,5137,9061,27.463,2484.908,58.906,2356,2644
35,27.463,7494.662,1120.967,5086,9233,27.463,2495.092,63.771,2383,2667
36,27.463,7513.569,1137.165,5249,9295,27.463,2488.138,64.695,2291,2632
37,27.463,7505.646,1122.314,5085,9320,27.463,2496.631,64.065,2325,2672
38,27.463,7501.031,1130.884,5072,9293,27.463,2479.800,69.952,2345,2649
39,27.463,7454.016,1114.965,5143,9203,27.463,2484.477,70.448,2326,2663
40,27.463,7486.200,1125.568,5145,9209,27.463,2481.031,61.081,2354,2680
41,27.463,7484.584,1108.209,5103,9205,27.463,2479.446,65.824,2303,2615
42,27.463,7499.092,1102.486,5133,9287,27.463,2470.938,57.154,2376,2618
43,27.463,7468.246,1138.764,5030,9028,27.463,2476.431,61.137,2308,2655
44,27.463,7469.277,1110.108,5172,9064,27.463,2488.308,55.477,2389,2642
45,27.463,7458.092,1108.727,5139,9203,27.463,2484.908,67.736,2358,2650
46,27.463,7474.477,1125.415,5102,9310,27.463,2487.754,57.291,2406,2649
47,27.463,7486.477,1124.660,5033,9403,27.463,2486.723,57.955,2382,2622
48,27.463,7468.262,1099.728,5038,8966,27.463,2494.523,61.878,2382,2661
