Time (s) Adjusted,grouped_wild type 2M Sbfr_Series001_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series002_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series005_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series007_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series008_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series009_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series011_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series013_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series015_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series017_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series019_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series021_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series023_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series024_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series025_Crop001_GCamP_Results_260123
1.0,-17.919738111530496,-83.05992765867258,-12.410637424476375,-19.11897462217087,-1013.8429295899051,-1.0137729327311966,-14.283053989164053,-3.1857871658176826,-15.81155469149411,-10.375096545622327,47.37214849965015,25.758643881191283,14.45192547225978,-7.702486452171531,40.89029690241516
1.1,-17.77363238793034,-85.79177729719875,-11.867903939996362,-19.819825076035055,-979.6405413749791,-6.551426213915441,-14.627331169877692,-3.2973112313010073,-15.87522331467391,-80.4733474034206,46.431371676361195,24.616102760340397,13.156887422576446,-6.437576573336209,37.53716840195456
1.2,-17.569098079337454,-84.1668615844406,-11.520074194706357,-19.252718113472383,-944.1567149882976,-5.633173942078599,-14.088788628938524,-3.449247624962993,-18.19715734541292,-7.809956757690071,51.99995479213388,23.654918695747554,13.261084839908492,-6.422935998478881,35.65032576368928
1.3,-18.00452015034533,-75.13159171106915,-11.470465252682798,-19.589666668687812,-914.1261862643393,-11.284023498197502,-14.668125343813763,-3.004468941482754,-19.362438377817888,-81.3263262270955,51.5142075145273,21.56881657403442,13.836025616892961,-6.4429193730510725,36.04458336998065
1.4,-18.10664217176793,-73.69347622359044,-11.848477836610643,-19.0348307526298,-881.1465141258648,1.062254847452504,-13.254230225197984,-2.58239655084296,-18.253709817897725,-11.515213328259069,50.259967262599595,20.09735582502404,11.667920515932316,-8.415513347348906,35.34840016357312
1.5,-18.58595428312094,-71.86659775179986,-11.416221180563088,-19.658163829605602,-849.3023706829184,0.5646584178309411,-13.182744985106627,-1.7248475358478323,-19.466923456790404,6.240551641615157,49.31546027414339,17.929032408378326,11.42791441518818,-7.595070145558644,34.47043647180325
1.6,-20.83877926205272,-71.84956710774433,-11.491475130280614,-18.71437517915173,-818.5472866534992,0.7399955047206461,-12.971270317840403,-1.212650808222934,-19.326432681081325,33.233375173424264,48.45800805484441,16.865435757062414,11.490865037039434,-8.631884488467653,33.94224739688948
1.7,-18.039938448115603,-70.339443086149,-10.42194120348141,-18.940297181382576,-789.2414600189235,1.2018106576752352,-13.246861379875622,-0.7675100062909941,-20.751819990139253,31.109786006373966,49.52551766194607,14.778273685451168,10.816434313809008,-8.461699267665184,33.070344203812816
1.8,-18.01935526354394,-68.52699850916233,-10.606259005038847,-19.20125131081988,-760.4661270131809,1.553081324681429,-13.02729374079523,-0.306547357519225,-21.31326408515484,34.0657252652822,48.34025691702368,12.584998912389288,9.556234330759253,-8.356336168561427,32.16118038222933
1.9,-17.8259705234756,-66.46434632930954,-10.222185770920888,-19.185960581156305,-737.4329368219156,1.335664052254188,-13.12839244260459,-0.7357176441284494,-21.61246255087736,27.268198889899466,48.58197461807139,10.940781220548352,10.13421859378424,-8.485635577324235,30.900365674593807
