Time (s) Adjusted,grouped_osm8dr206 2M S bfr_Series002_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series004_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series005_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series007_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series008_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series009_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series011_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series013_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series014_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series015_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series016_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series017_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series018_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series019_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series020_Crop001_GCamP_Results_260123
1.0,-10.794513439925474,20.512614745658155,-28.963276522515343,-42.2195377423379,-61.842375420383654,-43.228720925696436,3.8813995951724536,-2.2569356779555774,-8.414775396982561,-3.4851453175776452,0.6442743557519641,9.263043325511127,-15.496145418678184,48.53596509953573,-23.338181607583646
1.1,-11.284316717929737,21.94232587914115,-29.75734708316287,-42.599300960104785,-61.75528577150572,-44.0108358212955,-0.7128821375638061,-2.748133807431997,-7.751571118593712,-4.1566521438343536,1.2270357776542022,8.960681735058124,-14.4348449179931,47.78894750001949,-23.241826699200647
1.2,-11.416188341874987,21.985108040152852,-28.93451731744289,-42.434290071878955,-61.02684569101352,-43.55107724575217,2.2977643160451855,-3.7278081782004477,-8.54517829390321,-4.665408887243329,1.0065762031562748,8.980904152744632,-13.815154256692677,47.457020029512435,-23.355694395631904
1.3,-11.867828026038314,22.68952233239756,-30.20881343098657,-43.60251683691492,-61.17527240043289,-43.06629521223806,-0.33428657429279696,-3.3520290159867105,-8.64772231512324,-4.775353476162326,0.1930758307669178,12.124734955791265,-13.295016196459327,46.46769101403741,-23.89188871851411
1.4,-11.424695717854245,22.562199806912716,-25.273882910773988,-43.97898604588481,-60.562401468876104,-42.85822597961631,0.5465665204494314,-3.5339227011247782,-8.230488438546125,-5.863351566801823,0.05884782622080742,11.354435804184913,-13.189814027083834,48.70383963782204,-23.183404484306816
1.5,-12.049913536202165,23.362176910955014,-21.872358792283606,-44.72046709392018,-60.394626200381424,-42.68836673641296,2.7587793620025245,-4.413389778127508,-10.810550982246044,-4.942165382091784,0.02872522927578025,10.845174911747419,-14.736218906270956,49.88644181019184,-23.01788985352507
1.6,-9.847710708665321,23.12395503913892,-16.244630654571854,-43.731702082106644,-61.98004598519954,-43.67452642245598,2.76581565846379,-4.808862524982651,-10.811220943885743,-5.303327861976319,-0.8133568403980052,10.69368382200444,-15.46374581943626,49.51897156682939,-22.81131663939997
1.7,-10.488850191832967,23.549643782849003,-10.343439292174606,-43.81279265811735,-59.90313335675111,-43.10946921634371,0.9919070751741934,-4.38002548123112,-11.20545070482581,-5.131468379558481,-0.1423721325754146,10.303727069985294,-16.059183607271503,49.0541279743529,-22.939734400067273
1.8,-9.951601310151968,23.82154915822926,-5.501692684238483,-43.97940593496993,-59.420104270498776,-42.84036031266956,1.9514874414109507,-4.611621158991715,-10.876501325993239,-5.369549330655722,0.10643257644276005,10.224639723866055,-16.201277575212632,48.87894827236352,-22.82301956781599
1.9,-11.865250548517524,23.43927549685891,-0.2317198647460117,-43.884831305226946,-58.273523466198135,-42.69757044012427,1.691132765208522,-5.910368035430447,-10.511107824561094,-5.233589723572483,-0.008446589122839576,9.745047314183939,-16.312977935603442,47.55163530704285,-22.400840164362172
2.0,-9.35651178191485,23.178041119441687,2.8556682169717718,-44.20352413258081,-56.56636197443006,-43.0330048308188,-2.6622976548106276,-6.289360833656325,-10.374030292242919,-3.0100792826786957,-0.3113939608968961,10.476610387049185,-16.3880561211257,47.13862006673403,-22.277281897859098
2.1,-10.203014153998648,23.654174754511104,5.013856957199849,-44.43818845970283,-55.4408673272449,-42.87413045273893,-1.7421076049065007,-5.181661691248017,-10.33070432383269,-3.1912980754677776,0.5082196365373601,10.019473008359189,-16.193790206319008,45.82587386556879,-21.80167482691412
2.2,-10.561749048378275,23.606990453862224,7.577215313830873,-44.12670460513371,-53.33204799063671,-42.94228731772739,-0.970438716625452,-5.255007783682849,-10.482436961989144,-3.0525484266681424,-0.27657200551635697,10.49679136756077,-15.49997582656906,45.08735938348432,-21.903863728210617
2.3,-10.490676619246702,22.83090433517664,7.451247625105985,-44.121324212195155,-51.029331782704745,-42.39489953113648,0.1613347194169421,-5.275858567798299,-10.293273018752616,-2.404052249554777,-0.1459652196685992,10.441863673998864,-15.33326381759747,44.23674006554248,-20.988467833156975
2.4,-10.047778067374779,22.416591257713947,7.216117872960119,-44.21968652925331,-48.962369596697215,-42.42388058488861,0.19596652111033208,-4.86293933733937,-9.771615389828694,-2.2685942239064456,-0.390004715708665,10.159353561517234,-15.31001798728315,43.22261293890272,-20.52414349321741
2.5,-10.102692016860399,22.58319426054129,6.7152746311168485,-44.202735753085776,-46.90418242392039,-42.106892531816115,0.3224270527129178,-4.65572078986236,-9.62584589638409,-1.8574137258397627,-0.45458722992774625,10.323778589780332,-15.071316053326965,41.443113269675266,-21.114102106533423
2.6,-9.37847723385041,21.39249952911517,6.0692234544346455,-43.81238586446112,-45.008454187637376,-41.598785511271444,-0.3237407411754738,-5.199133734735878,-9.561115389106451,-1.965587610625807,-0.7599084236854283,9.515244991705469,-14.43028357268536,39.71562212820087,-19.88007255192167
2.7,-9.59176588663794,20.94470094983555,5.338049191754703,-43.550831474385745,-42.437020651308,-41.33100050791095,0.06461329448631759,-5.525912921764724,-9.569631018533135,-2.000473834600788,-0.3175545236821291,9.765098385881851,-14.67656501506396,38.50155605464059,-19.117565247372767
2.8,-9.190356994914165,20.057512899759544,4.376224928554549,-43.15651077647557,-40.418620127953446,-41.18204922738546,-3.716466203971997,-5.084254105827401,-9.608512433822636,-2.453371681495316,-1.1271914251106603,9.807909803502934,-15.015473588463875,36.966377701031334,-18.882991179948018
2.9,-8.609438006157273,19.32841811771111,3.540011164629739,-43.44749682588906,-38.54202970244152,-40.645533155908964,-2.955983476073115,-5.442024156481977,-9.292013587807428,-4.347599597091828,-0.767437510813977,9.63225015953082,-14.488219351729528,36.26936020617257,-18.56853530091203
3.0,-8.888046256250558,17.80477556837164,2.5880693295162924,-42.17733490518857,-37.082713237601084,-40.54130244396603,-3.4870400724709647,-6.183601286539409,-9.38412890900111,-3.5451849365970105,-0.7556576824918375,9.524039724255102,-14.283465581905734,33.52193559692368,-18.543971142919652
3.1,-8.136867024214968,17.039162479757294,0.9393749046053301,-42.171647981572946,-35.22603020689107,-39.755638959778885,-3.717455736756314,-5.136195987509074,-9.098331613776297,-3.451684386848296,-1.0100382364531502,9.492717359952923,-14.434280309272832,32.568819993348576,-18.223509955649718
3.2,-8.191126309694866,15.985239140018308,-0.15727956067500415,-41.077704255127856,-32.99184603176302,-39.69226430844474,-2.668871986491677,-5.494830406277007,-9.138083795118245,-3.1830358250654314,-1.6503269989460518,9.397691044649584,-14.159305004885017,31.07704019746867,-18.223202867415413
3.3,-8.491949045326239,15.113416188507145,-1.1446293926187145,-40.13850006997322,-31.05470111684532,-39.37903713105784,-3.5242768587130655,-6.723215772562887,-9.07511327547191,-3.1471578107120024,-1.3692194590203242,8.76377620319811,-13.678996107646864,28.584897886976698,-18.417860825399593
3.4,-8.394340209661657,14.199506123938747,-2.186959129015854,-39.67739585878916,-28.627280675106277,-38.88614524867224,-3.171573989757624,-6.425296502732821,-8.937757689129414,-3.017264221289741,-1.4875883530599099,8.706967147147838,-12.849878786553369,27.090904304140764,-17.898259643693006
3.5,-7.755587000673115,13.362585812575361,-3.187483128026262,-38.88115287058162,-26.098879464255056,-38.733808883833355,-2.9815737268228,-5.067782903473089,-8.963915411941146,-2.6202288527940105,-1.0243880831371799,8.739079871769755,-12.69863872251638,25.434946567846467,-17.578374241609602
3.6,-8.006770383773993,12.025009752579756,-4.450101755659404,-37.69921868132231,-23.697108960578333,-38.10263918996891,-1.8986039488777564,-5.090041242714517,-8.241980491029883,-2.209550133980926,-1.2857774987396526,8.765524212471416,-12.32889360575728,24.306588267903322,-16.714998030706077
3.7,-7.655544015651776,10.891490915552659,-5.59417967760755,-36.533730237933575,-22.165549824811933,-37.54315448049151,-1.561959595590693,-4.978287737424341,-8.368857335793196,-2.1147800658966958,-1.2921936226579493,8.679180838651643,-11.610191973302701,23.06937244046229,-16.82789465854624
3.8,-8.64949813195852,10.337704952725758,-6.436145757731297,-35.22270067063512,-20.22930034358253,-37.270905522752116,-0.965169132558465,-5.3210050544592455,-8.468539146463463,-2.240398790754554,-1.3969719148587654,8.195691427000757,-11.39743300526981,21.095434363425092,-16.36504134215545
3.9,-7.805856067365847,8.925443378606303,-7.047789467407816,-34.0735516706738,-18.589960734579545,-37.226270965820206,-2.005693361167946,-5.6706762530382,-8.085203267679068,-2.8065281855347983,-1.8219663395668917,8.709782244291501,-11.036773933226923,19.658845990168267,-16.366725806996232
