Time (s) Adjusted,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series002_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series004_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series006_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series011_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series013_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop002_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series017_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series019_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series020_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series021_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series022_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series023_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series024_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series025_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series026_Crop001_GCamP_Results_260123
1.9,-5.4649718226571595,-5.775241779509173,10.418060613284673,4.609837252738004,-2.4092716366674436,-32.207425168841326,-27.218817889964253,4.500788468610043,4.017388253592097,2.831245727620514,0.19710920125444176,-11.183128586010906,-8.671506674635864,-22.222084071822252,-15.8205699783453,-0.14573392334919255
2.0,-5.3908434452325755,-5.610911202300128,9.825253323914758,4.092766412860708,-2.233840624468499,-32.38786943124248,-27.380185279271984,4.708838521406534,4.100572651661,2.9229456771593405,0.03500035527250134,-10.471603270091741,-8.485810568633713,-22.154320107203294,-15.935331742580285,-0.6743430901671026
2.1,-5.4699100102044085,-5.462561885066913,9.22656053741754,3.698003521613675,-2.3685485432212054,-32.22977117386281,-27.113920314363437,4.967820431730228,4.387148855834214,2.8077539716619064,0.12208849125608268,-10.59661892713654,-8.397504343991862,-21.553737251017324,-16.221630566810564,-0.8326236746689446
2.2,-5.76552626552541,-5.7065960252656005,8.673698566796073,3.3459914322999786,-2.7844981523890526,-31.591928196289285,-26.65352511715951,4.204670191331477,4.182064487535547,3.117962647569964,-0.363352947862694,-10.050130829893945,-7.864682629169309,-20.68783055217702,-16.14212348283823,-1.148257673556854
2.3,-5.40384930051934,-5.83052066335603,7.363880610418697,2.9873686167267905,-3.26650863010165,-31.359078758114787,-26.511276352452892,4.407810748747373,4.142365064965235,2.7523150425668454,-0.7069715591776777,-9.789610501550321,-6.8683940332522155,-20.1003298613129,-16.237542887490275,-0.6103505312652437
2.4,-5.319965309838685,-5.654712876281938,6.997070264193006,2.4846218216856064,-2.818746759751246,-31.319826227062194,-26.23994882991532,4.32835687614692,3.6573726021364745,2.9364870854441207,-0.2061739608080746,-9.410964583121231,-7.273195000180625,-20.26545322202106,-16.26182739562985,-1.0581888319175334
2.5,-5.569443694708509,-5.4736489974780165,4.49228619762216,2.358933439012807,-3.145187268671749,-30.948438267324875,-26.223761085443577,4.157655155868792,3.7890319977219953,2.8198395370051443,-0.9714851527963617,-9.583435937688911,-6.818318423538916,-20.010786997338414,-16.541000565661854,-0.926754664142214
2.6,-5.684903778113788,-6.106671883708037,4.074986257177885,2.0765515060629767,-3.7946513229252545,-30.82078122951243,-26.140138353718704,3.878427270546439,3.7196583812797765,3.302770329719939,-0.6301003697874918,-8.913573935020807,-6.4225777296371405,-19.073041404763725,-16.488679552348604,-0.8723872871454414
2.7,-5.598713743980985,-5.734433923511093,3.7503346376102726,1.5685188560745011,-3.2146127467845913,-30.471746264522896,-25.830300112706393,4.090589536035324,4.148309995834154,2.7591252897506404,-0.9989832520604196,-8.800084754364324,-8.078443467973699,-18.80453359789586,-16.54035844298827,-1.3194613508431168
2.8,-5.991620413358207,-5.286863382539611,3.9311266939383707,1.44525825249477,-3.336607185788173,-30.40617789569154,-25.661441301577295,3.8472977420230237,4.14040610028222,3.0932091389149825,-0.7003062496481913,-8.415263293409257,-8.188500343330027,-18.096238494479703,-16.3374583879295,-0.9643638274315389
2.9,-5.541186814106225,-5.91190510950627,4.025884979086928,0.511901281404846,-3.567096340803503,-29.97638869622986,-25.425683482906358,3.6612827823011926,4.337973710517936,3.021436476623535,-1.1200259042367033,-8.610048768000581,-5.990363797335856,-17.717828028501962,-16.41324910741998,-1.0542072939199176
3.0,-5.62999957225508,-5.486422189930055,4.182903532552027,0.28494696414244025,-3.3847190386187744,-29.24553568482266,-24.86639406266577,3.9161771926016513,4.209684455434973,2.959721304073433,-1.4448532435979313,-8.252000344384186,-5.823973735542587,-16.988141432275604,-15.923079373887322,-1.2575178757612342
3.1,-5.892970320502862,-5.348352973568157,5.839094544694456,-0.5352625094655714,-3.666242240148887,-29.271461665908195,-24.949777531284543,3.3677946650917683,4.245579782513108,3.107112952141277,-1.4502624308955383,-7.888479163820847,-5.831661331411251,-16.92762881221632,-15.813976992028184,-1.0336462327842177
