Index,Time (s) Adjusted,grouped_wild type 2M Sbfr_Series001_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series001_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series002_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series002_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series005_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series005_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series007_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series007_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series008_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series008_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series009_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series009_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series011_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series011_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series013_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series013_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series015_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series015_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series017_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series017_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series019_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series019_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series021_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series021_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series023_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series023_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series024_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series024_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series025_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series025_Crop001_GCamP_Results_260123_Mean2
13,1.2,8430.346,2661.961,10575.277,3814.037,8078.311,2162.978,5569.725,2316.488,7489.121,2398.333,11888.985,2709.116,15295.48,2251.48,7369.298,2955.866,5545.406,2456.484,8286.935,0.0,6367.011,2365.045,7374.402,2556.543,12901.726,2249.841,34296.414,2809.733,18824.43,2478.025
14,1.3,8363.552,2628.359,10938.796,3736.204,8116.578,2210.256,5571.625,2333.337,7308.742,2417.803,11465.797,2744.696,15213.44,2259.42,7397.806,2968.463,5509.047,2460.531,2288.066,0.0,6362.318,2374.136,7318.0,2574.348,12959.92,2274.407,34245.668,2811.16,18857.898,2477.24
15,1.4,8353.295,2631.179,10918.037,3728.278,8133.844,2258.389,5589.513,2335.913,7334.879,2391.333,12295.754,2621.478,15363.06,2254.86,7410.254,2965.94,5528.047,2448.547,7973.672,0.0,6319.807,2364.159,7261.283,2571.261,12791.708,2292.319,33689.746,2833.587,18762.785,2468.228
16,1.5,8314.603,2628.295,10938.889,3737.074,8147.478,2261.389,5564.337,2335.4,7389.091,2392.636,12219.435,2599.551,15336.34,2238.34,7394.925,2917.612,5501.594,2464.0,9415.574,0.0,6299.239,2368.568,7184.5,2571.424,12767.752,2299.991,33869.625,2839.013,18664.988,2476.595
17,1.6,8190.615,2647.051,10852.167,3745.333,8141.056,2270.278,5590.438,2332.988,7441.864,2391.833,12228.435,2610.102,15321.16,2216.18,7406.448,2910.433,5500.031,2461.844,11786.082,175.574,6260.591,2352.773,7142.359,2569.25,12769.778,2309.354,33554.52,2849.933,18595.873,2475.038
18,1.7,8332.962,2627.487,10845.723,3742.778,8172.5,2258.411,5576.45,2330.175,7463.833,2383.955,12239.928,2600.623,15283.06,2230.72,7423.433,2911.492,5451.547,2461.922,11925.41,493.623,6313.761,2381.83,7072.783,2573.891,12701.363,2307.336,33546.398,2842.48,18482.607,2467.266
19,1.8,8328.962,2629.103,10857.723,3739.037,8154.178,2260.922,5564.925,2331.012,7511.167,2371.333,12247.667,2596.014,15295.8,2235.42,7445.358,2916.836,5435.062,2466.875,12161.115,493.951,6271.114,2370.034,6994.967,2573.837,12584.018,2303.301,33546.895,2861.053,18381.178,2475.443
20,1.9,8342.41,2637.731,10905.444,3754.537,8164.3,2262.756,5562.938,2332.012,7319.455,2410.227,12231.392,2611.957,15264.74,2235.56,7421.552,2913.299,5419.906,2464.922,11607.492,500.082,6275.977,2370.932,6932.826,2571.076,12624.699,2310.0,33463.586,2859.0,18228.912,2471.595
21,2.0,8359.628,2643.795,10833.611,3756.074,8157.2,2263.733,5561.513,2334.387,7393.227,2408.485,11919.507,2630.102,15285.22,2242.68,7422.866,2920.94,5414.344,2460.031,12031.099,883.574,6178.455,2369.557,6910.261,2571.011,12509.69,2296.788,33575.375,2858.933,18105.229,2475.886
22,2.1,8321.808,2630.5,10827.814,3764.981,8136.789,2277.133,5576.638,2329.512,7441.758,2403.561,11997.131,2631.652,15272.88,2240.82,7404.358,2908.134,5436.562,2453.719,12168.295,887.148,6177.011,2369.716,6832.489,2566.435,12419.947,2303.743,33637.027,2858.613,18012.531,2471.43
23,2.2,8350.936,2634.808,10860.87,3754.519,8179.544,2267.044,5563.562,2342.95,7395.273,2393.439,12075.305,2643.319,15269.3,2245.18,7414.672,2905.582,5445.328,2452.953,12060.935,881.508,6156.148,2372.284,6802.207,2571.065,12680.902,2287.398,33598.012,2860.507,17930.113,2463.203
24,2.3,8306.538,2609.487,10639.611,3802.722,8132.056,2267.422,5588.3,2335.762,7480.864,2386.667,12118.044,2623.203,15285.86,2233.48,7419.493,2902.299,5421.094,2453.312,11878.345,885.787,6106.489,2364.932,6742.696,2566.652,12613.062,2286.602,33393.121,2848.027,17848.57,2470.987
25,2.4,8298.462,2608.987,10624.556,3796.037,8105.6,2269.611,5597.425,2339.038,7532.303,2394.515,11810.435,2647.333,15286.0,2248.58,7446.179,2920.045,5441.344,2459.531,11786.328,881.262,6021.091,2366.239,6717.848,2574.261,12549.637,2282.867,33531.734,2860.907,17718.152,2475.152
26,2.5,8286.718,2605.782,10671.333,3791.889,8103.8,2266.944,5583.925,2332.325,7493.424,2379.333,11778.087,2655.812,15306.94,2243.34,7440.164,2912.194,5454.375,2453.797,12020.59,882.59,6086.17,2384.159,6671.913,2570.478,12469.646,2283.646,33479.16,2871.187,17632.266,2462.215
27,2.6,8307.295,2621.679,10676.814,3794.611,8076.178,2274.033,5600.725,2334.275,7514.697,2377.545,11831.956,2664.449,15314.5,2251.2,7439.776,2911.657,5452.344,2454.844,11948.295,879.049,6029.432,2388.205,6649.728,2576.533,12429.593,2282.195,33433.441,2860.093,17515.785,2474.126
28,2.7,8316.859,2616.423,10672.204,3811.407,8125.411,2270.844,5593.875,2350.45,7565.879,2374.682,11836.869,2655.188,15325.56,2243.86,7445.672,2921.522,5439.641,2455.109,11879.853,885.475,5991.841,2378.557,6586.076,2570.75,12307.018,2280.009,33420.895,2867.187,17387.975,2474.962
29,2.8,8303.897,2613.615,10711.481,3802.0,8114.189,2272.878,5584.625,2334.075,7621.212,2376.561,11833.521,2653.406,15376.1,2249.48,7473.911,2926.09,5445.766,2458.641,11750.492,885.377,5929.966,2367.33,6553.75,2564.152,12235.823,2282.85,33358.121,2859.493,17317.051,2470.177
30,2.9,8306.27,2607.692,10690.833,3827.63,8081.067,2271.756,5595.413,2342.15,7673.03,2380.818,11787.305,2661.0,15431.44,2245.16,7447.448,2903.418,5456.094,2464.328,11655.869,881.459,5902.455,2371.966,6536.663,2569.793,12219.575,2289.513,33414.746,2858.88,17200.861,2475.734
31,3.0,8305.167,2611.256,10730.186,3816.093,8081.911,2275.422,5609.725,2341.55,7569.0,2182.909,11783.159,2656.898,15391.74,2241.24,7431.269,2922.508,5368.156,2466.141,11493.0,886.098,5876.136,2367.875,6491.728,2567.37,12158.159,2279.522,33365.906,2867.253,17129.139,2466.835
