Index,Time (s) Adjusted,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series002_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series002_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series004_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series004_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series006_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series006_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series011_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series011_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series013_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series013_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop002_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop002_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series017_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series017_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series019_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series019_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series020_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series020_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series021_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series021_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series022_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series022_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series023_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series023_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series024_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series024_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series025_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series025_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series026_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series026_Crop001_GCamP_Results_260123_Mean2
11,1.0,12347.787,2555.18,14536.054,2566.243,16907.457,2562.714,18281.139,2812.554,16251.937,2371.213,15588.361,2657.556,15523.818,2553.886,19492.957,2776.449,10883.694,2450.542,17410.104,2175.75,16144.796,2228.815,18586.193,2204.754,19445.381,2178.46,8511.494,2177.209,24611.791,2228.938,15268.937,2189.0
12,1.1,12292.033,2544.557,14490.027,2565.0,16876.457,2545.229,18233.432,2791.138,16190.915,2377.042,15576.25,2669.167,15494.682,2560.455,19390.318,2747.014,10793.042,2466.319,17377.928,2172.583,16115.907,2228.611,18568.211,2196.965,19438.984,2171.476,8482.55,2175.176,24520.521,2209.833,15299.043,2192.106
13,1.2,12309.853,2537.836,14444.676,2559.541,16653.285,2553.086,18149.707,2784.446,16032.276,2370.064,15619.777,2658.333,15490.409,2562.75,19212.145,2733.522,10666.75,2501.292,17363.406,2154.99,16102.296,2237.556,18186.807,2184.895,19462.412,2168.746,8502.187,2152.275,24366.875,2169.542,15325.957,2190.851
14,1.3,12293.737,2566.246,14434.486,2545.513,16844.828,2554.0,17805.877,2692.492,16022.383,2343.404,15639.444,2671.194,15502.0,2560.932,19192.217,2740.333,10574.125,2504.0,17337.584,2148.458,16098.093,2233.241,18640.158,2200.018,19461.73,2173.778,8534.945,2149.11,24335.396,2181.792,15541.511,2158.723
15,1.4,12381.492,2567.328,14346.567,2558.973,16867.656,2556.0,17534.584,2668.461,16040.915,2353.319,16296.194,2597.833,15678.818,2496.886,19102.145,2738.768,10568.556,2505.083,17317.197,2173.083,16087.981,2237.537,18655.719,2196.544,19451.619,2178.317,8514.901,2154.506,24307.125,2188.271,15490.851,2164.787
16,1.5,12381.328,2577.738,14292.162,2565.243,16912.029,2563.771,17430.584,2675.446,15964.063,2348.511,16130.111,2599.944,15693.204,2504.477,19113.406,2743.014,10485.292,2510.681,17306.291,2192.75,16093.814,2230.722,18706.701,2194.877,19502.334,2176.127,8503.494,2149.187,24323.375,2177.667,15525.894,2171.468
17,1.6,12398.263,2574.016,14276.865,2531.378,16759.115,2575.029,17319.369,2687.385,15950.276,2340.958,16152.139,2604.0,15693.182,2507.182,19075.58,2747.884,10498.764,2520.194,17298.572,2193.802,16089.463,2232.944,18760.824,2201.86,19537.27,2177.19,8492.362,2151.978,24301.979,2181.292,15506.063,2161.255
18,1.7,12345.328,2572.377,14158.459,2534.865,16734.686,2563.829,17220.215,2693.415,15986.191,2358.787,16072.444,2598.944,15643.909,2514.091,19039.363,2745.986,10494.944,2504.319,17244.75,2192.094,16068.723,2248.389,18849.053,2207.053,19524.793,2173.413,8497.571,2156.406,24262.375,2179.271,15435.255,2163.213
19,1.8,12346.951,2576.918,14079.271,2552.784,16696.115,2577.6,18107.277,2689.554,16010.724,2365.489,16084.694,2596.111,15623.637,2495.227,19028.986,2732.275,10549.056,2509.208,17280.447,2189.635,16076.037,2241.574,18810.264,2204.491,19505.254,2175.492,8461.638,2152.879,24148.604,2185.792,15439.553,2159.234
20,1.9,12342.983,2570.394,14034.973,2547.135,16689.971,2568.486,18075.938,2694.415,15941.915,2375.191,16110.223,2588.583,15632.704,2497.773,18934.783,2746.029,10529.306,2509.222,17288.865,2198.781,16042.389,2247.148,18834.666,2201.562,19477.445,2177.349,8489.0,2152.802,24169.375,2184.167,15444.532,2157.0
21,2.0,12345.541,2572.853,14040.595,2543.784,16613.086,2568.4,17989.908,2687.031,15957.979,2376.213,16070.667,2600.5,15593.546,2504.455,18938.436,2735.841,10530.375,2508.306,17285.344,2193.812,16021.5,2254.426,18914.736,2210.562,19467.27,2179.365,8475.198,2150.483,24101.875,2183.167,15377.361,2163.468
22,2.1,12326.524,2567.885,14047.811,2543.73,16538.715,2571.514,17929.062,2687.754,15933.0,2376.149,16068.75,2604.583,15605.613,2505.091,18954.869,2731.522,10548.848,2510.222,17271.334,2205.552,16006.074,2236.481,18860.0,2204.632,19438.445,2175.984,8496.044,2150.121,24009.041,2189.417,15349.894,2166.532
23,2.2,12298.099,2573.508,14014.892,2545.459,16455.115,2560.057,17879.016,2693.308,15874.489,2378.787,16120.389,2597.806,15638.796,2500.818,18848.738,2742.739,10522.902,2502.944,17290.875,2194.885,15936.944,2235.333,18895.719,2192.79,19466.191,2167.984,8533.33,2149.89,23969.521,2179.104,15299.511,2164.979
24,2.3,12329.541,2578.295,13990.811,2543.189,16309.371,2574.686,17813.785,2684.6,15794.361,2368.319,16128.139,2601.417,15642.204,2509.295,18857.797,2738.536,10519.139,2506.0,17240.178,2202.854,15895.519,2244.426,18906.895,2197.333,19574.635,2176.889,8548.626,2144.659,23922.75,2194.771,15344.021,2158.979
25,2.4,12318.131,2565.885,13998.271,2540.432,16255.714,2571.486,17753.662,2701.123,15848.596,2372.426,16107.611,2602.667,15653.546,2508.386,18829.637,2735.275,10480.973,2506.556,17258.51,2207.531,15944.963,2240.407,18930.281,2197.07,19486.588,2181.651,8530.308,2151.846,23867.896,2188.667,15283.639,2162.787
26,2.5,12299.869,2577.41,14022.595,2553.973,15914.571,2530.0,17720.0,2691.461,15795.276,2368.723,16118.473,2590.694,15623.772,2500.455,18798.812,2741.652,10477.875,2498.0,17219.479,2194.396,15839.759,2237.648,18892.543,2214.632,19511.73,2181.381,8529.791,2151.066,23771.375,2189.375,15294.404,2170.319
27,2.6,12272.492,2567.443,13938.297,2545.865,15856.2,2527.971,17678.584,2695.923,15713.787,2378.468,16115.777,2597.806,15621.818,2511.273,18745.436,2740.116,10476.694,2505.764,17274.375,2196.323,15873.444,2237.5,18942.578,2199.105,19522.174,2174.413,8570.297,2149.417,23737.312,2189.208,15278.468,2160.106
