comparison,t_statistic,p_value,significant
wt vs dr206,-0.6029398077346467,0.5514015940092353,ns
wt vs dr206 dr180,-1.705556947879341,0.09878121097264983,ns
dr206 vs dr206 dr180,-1.3874147656829814,0.1758857561732193,ns
