 ,Area1,Mean1,StdDev1,Min1,Max1,Area2,Mean2,StdDev2,Min2,Max2
1,38.025,8200.578,2636.297,3588,13847,38.025,2306.122,45.219,2149,2428
2,38.025,8130.556,2611.958,3697,13843,38.025,2287.322,48.596,2159,2431
3,38.025,8071.011,2581.963,3470,13807,38.025,2285.933,35.577,2191,2370
4,38.025,8046.311,2585.567,3520,13572,38.025,2271.000,46.341,2188,2415
5,38.025,8043.900,2595.028,3549,13483,38.025,2259.767,40.831,2174,2350
6,38.025,8067.922,2611.205,3528,13731,38.025,2234.633,35.619,2149,2344
7,38.025,8060.267,2579.965,3530,13486,38.025,2214.833,38.337,2117,2308
8,38.025,8055.833,2586.492,3397,13664,38.025,2195.389,35.472,2126,2289
9,38.025,8063.922,2576.246,3518,13744,38.025,2182.433,37.453,2079,2255
10,38.025,8082.511,2600.794,3567,13875,38.025,2177.089,37.074,2091,2265
11,38.025,8065.622,2578.580,3426,13763,38.025,2172.678,37.965,2080,2251
12,38.025,8072.411,2563.980,3404,13481,38.025,2163.300,38.190,2094,2251
13,38.025,8078.311,2563.545,3448,13614,38.025,2162.978,38.377,2058,2284
14,38.025,8116.578,2531.416,3618,13442,38.025,2210.256,37.384,2118,2294
15,38.025,8133.844,2503.156,3511,13722,38.025,2258.389,44.167,2172,2409
16,38.025,8147.478,2522.241,3550,13600,38.025,2261.389,37.169,2154,2387
17,38.025,8141.056,2493.806,3667,13327,38.025,2270.278,35.856,2168,2350
18,38.025,8172.500,2485.023,3632,13435,38.025,2258.411,42.408,2135,2353
19,38.025,8154.178,2471.871,3548,13371,38.025,2260.922,38.408,2176,2357
20,38.025,8164.300,2462.107,3664,13393,38.025,2262.756,41.810,2163,2372
21,38.025,8157.200,2471.578,3642,13506,38.025,2263.733,41.157,2167,2368
22,38.025,8136.789,2475.333,3573,13394,38.025,2277.133,37.605,2196,2351
23,38.025,8179.544,2495.508,3499,13764,38.025,2267.044,40.677,2172,2370
24,38.025,8132.056,2432.232,3648,13164,38.025,2267.422,41.160,2166,2378
25,38.025,8105.600,2446.492,3461,13105,38.025,2269.611,48.514,2134,2378
26,38.025,8103.800,2455.580,3648,13305,38.025,2266.944,38.507,2181,2360
27,38.025,8076.178,2438.187,3616,13179,38.025,2274.033,37.225,2190,2405
28,38.025,8125.411,2475.630,3519,13347,38.025,2270.844,44.556,2149,2386
29,38.025,8114.189,2439.158,3583,13416,38.025,2272.878,40.622,2138,2416
30,38.025,8081.067,2438.034,3565,13368,38.025,2271.756,39.590,2168,2368
31,38.025,8081.911,2437.485,3613,13361,38.025,2275.422,42.592,2169,2412
32,38.025,8074.322,2426.750,3678,13233,38.025,2268.411,39.323,2175,2365
33,38.025,8051.044,2420.983,3635,13276,38.025,2272.889,44.000,2164,2388
34,38.025,8058.056,2423.883,3507,13210,38.025,2274.033,39.034,2187,2379
35,38.025,8049.089,2400.097,3650,13154,38.025,2263.289,38.558,2168,2361
36,38.025,8045.711,2410.203,3517,13176,38.025,2266.855,37.783,2161,2361
37,38.025,8057.778,2437.190,3419,13165,38.025,2272.367,41.375,2163,2363
38,38.025,8070.178,2435.372,3565,13295,38.025,2281.789,40.685,2180,2397
39,38.025,8031.245,2419.781,3533,13062,38.025,2277.855,40.891,2186,2399
40,38.025,8039.478,2434.052,3553,13195,38.025,2270.056,44.388,2165,2397
41,38.025,8036.033,2406.690,3589,13349,38.025,2276.855,45.832,2169,2375
42,38.025,8020.444,2403.588,3461,12910,38.025,2277.022,39.202,2155,2398
43,38.025,8044.300,2402.220,3712,13153,38.025,2276.311,41.880,2185,2376
44,38.025,8007.478,2391.278,3539,13195,38.025,2268.767,36.166,2173,2350
45,38.025,7997.678,2398.409,3457,13148,38.025,2271.689,41.294,2188,2383
46,38.025,8000.767,2412.120,3608,13239,38.025,2281.044,37.460,2163,2386
47,38.025,8009.733,2416.018,3581,12901,38.025,2273.589,43.639,2154,2368
48,38.025,8002.867,2402.761,3561,13158,38.025,2272.844,39.648,2172,2361
49,38.025,8001.956,2391.109,3485,12959,38.025,2277.067,38.704,2172,2369
50,38.025,7981.078,2415.352,3433,13164,38.025,2270.311,43.492,2179,2368
51,38.025,7987.367,2387.725,3548,13012,38.025,2276.667,42.900,2183,2367
52,38.025,7996.733,2395.088,3595,13138,38.025,2278.000,42.120,2194,2402
53,38.025,7992.589,2401.715,3588,13007,38.025,2276.033,42.365,2198,2466
54,38.025,7995.833,2397.814,3561,13090,38.025,2271.500,38.271,2163,2361
55,38.025,7964.711,2365.364,3520,12904,38.025,2270.256,46.093,2174,2379
56,38.025,7969.167,2378.554,3520,12923,38.025,2274.633,40.673,2167,2372
57,38.025,7972.489,2351.227,3587,12910,38.025,2280.156,46.641,2175,2409
58,38.025,7963.189,2370.457,3640,12939,38.025,2272.400,38.334,2203,2404
59,38.025,7982.978,2365.538,3456,12731,38.025,2272.578,40.389,2179,2348
60,38.025,7940.589,2321.537,3566,12757,38.025,2274.178,39.886,2169,2389
61,38.025,7954.878,2348.078,3579,13038,38.025,2277.833,52.127,2153,2382
62,38.025,7970.544,2360.054,3642,12944,38.025,2269.322,44.456,2178,2354
63,38.025,7972.989,2342.528,3650,12710,38.025,2273.267,42.856,2180,2398
64,38.025,7968.889,2350.840,3592,12831,38.025,2272.500,44.302,2191,2403
65,38.025,7966.922,2359.505,3671,13014,38.025,2273.478,45.129,2164,2383
66,38.025,7969.822,2354.127,3592,12826,38.025,2274.544,43.457,2184,2405
67,38.025,7927.222,2342.024,3660,12955,38.025,2273.944,35.016,2202,2360
68,38.025,7934.189,2348.571,3543,13071,38.025,2280.778,38.663,2189,2361
69,38.025,7949.300,2394.221,3621,13050,38.025,2285.867,35.957,2177,2350
70,38.025,7946.544,2384.811,3486,12984,38.025,2271.411,39.583,2174,2356
71,38.025,7935.367,2367.066,3567,12995,38.025,2276.344,37.858,2192,2358
72,38.025,7926.289,2353.688,3474,13066,38.025,2278.978,44.746,2151,2382
73,38.025,7932.089,2368.335,3639,12887,38.025,2273.400,40.755,2189,2385
74,38.025,7937.822,2361.150,3646,13000,38.025,2276.011,36.984,2159,2385
75,38.025,7922.667,2359.855,3469,12930,38.025,2273.522,40.266,2174,2360
76,38.025,7917.778,2365.187,3536,12868,38.025,2274.733,40.553,2198,2396
77,38.025,7940.378,2361.899,3547,12821,38.025,2269.911,45.069,2154,2368
78,38.025,7912.755,2370.541,3528,12890,38.025,2285.944,41.606,2155,2382
79,38.025,7918.122,2407.153,3549,13194,38.025,2279.933,44.015,2161,2442
80,38.025,7925.389,2394.208,3519,12968,38.025,2271.833,44.421,2188,2402
81,38.025,7878.122,2365.877,3553,13039,38.025,2273.333,43.537,2191,2409
82,38.025,7899.767,2390.517,3480,13031,38.025,2282.289,44.769,2162,2405
83,38.025,7895.022,2376.679,3590,12995,38.025,2273.744,41.819,2170,2378
84,38.025,7888.233,2351.653,3503,12660,38.025,2275.400,42.802,2172,2385
85,38.025,7903.833,2381.245,3493,12867,38.025,2279.289,40.629,2189,2370
86,38.025,7885.211,2377.089,3492,13008,38.025,2268.156,43.583,2169,2366
87,38.025,7880.411,2366.412,3507,12908,38.025,2271.500,43.888,2174,2391
88,38.025,7872.478,2366.778,3570,12946,38.025,2271.800,43.957,2164,2394
89,38.025,7868.189,2368.089,3538,12948,38.025,2269.900,38.920,2176,2389
90,38.025,7891.022,2396.039,3481,12959,38.025,2270.733,41.866,2198,2374
91,38.025,7882.844,2378.196,3563,13000,38.025,2281.022,42.448,2193,2384
92,38.025,7845.800,2367.594,3474,12910,38.025,2277.200,47.711,2145,2388
93,38.025,7870.033,2394.524,3518,12903,38.025,2277.989,44.466,2178,2374
94,38.025,7860.611,2386.739,3462,12998,38.025,2278.667,39.017,2168,2377
95,38.025,7854.933,2403.148,3482,12910,38.025,2278.956,38.920,2181,2352
96,38.025,7833.467,2370.621,3522,12874,38.025,2275.989,36.163,2193,2357
97,38.025,7844.967,2368.377,3488,12848,38.025,2273.344,44.193,2176,2364
98,38.025,7844.733,2372.692,3548,12871,38.025,2274.100,38.431,2181,2363
99,38.025,7814.355,2363.778,3468,12776,38.025,2272.622,41.687,2182,2385
100,38.025,7809.478,2352.014,3583,12797,38.025,2280.489,40.277,2170,2390
101,38.025,7813.400,2358.194,3548,12867,38.025,2276.311,46.619,2170,2397
102,38.025,7809.255,2364.865,3345,12882,38.025,2276.000,45.031,2177,2428
103,38.025,7802.033,2355.252,3473,12910,38.025,2270.944,44.264,2139,2366
104,38.025,7793.678,2358.512,3521,12790,38.025,2286.167,40.857,2196,2385
105,38.025,7811.611,2365.997,3504,12596,38.025,2281.933,39.158,2172,2372
106,38.025,7786.933,2340.274,3567,12772,38.025,2279.411,35.749,2192,2351
107,38.025,7782.433,2338.777,3531,12959,38.025,2282.022,44.035,2168,2398
108,38.025,7763.500,2346.865,3543,12637,38.025,2276.822,41.098,2187,2360
