 ,Area1,Mean1,StdDev1,Min1,Max1,Area2,Mean2,StdDev2,Min2,Max2
1,31.688,35046.426,12617.596,13841,59795,31.688,2887.387,153.926,2539,3242
2,31.688,34592.906,12817.451,12253,59314,31.688,2841.267,149.014,2428,3123
3,31.688,34587.945,12503.374,14187,58083,31.688,2850.947,145.325,2491,3133
4,31.688,34420.000,12657.294,12063,59791,31.688,2836.253,143.090,2485,3098
5,31.688,33976.586,13034.485,9983,59812,31.688,2832.360,147.822,2506,3108
6,31.688,34012.668,13171.659,7746,58602,31.688,2792.760,155.324,2428,3017
7,31.688,34148.613,12701.802,9862,59653,31.688,2801.107,143.490,2484,3054
8,31.688,34258.066,12536.299,10581,59234,31.688,2797.893,147.610,2472,3052
9,31.688,34254.707,12558.132,10443,59967,31.688,2799.693,149.549,2438,3050
10,31.688,34061.375,12549.753,10131,58718,31.688,2792.707,143.401,2469,3044
11,31.688,34011.680,12760.167,9681,57485,31.688,2776.080,145.873,2459,3024
12,31.688,34341.613,12333.217,12540,58360,31.688,2812.027,151.475,2365,3113
13,31.688,34296.414,12387.914,13669,58858,31.688,2809.733,143.967,2511,3053
14,31.688,34245.668,12393.641,13612,59208,31.688,2811.160,144.265,2481,3039
15,31.688,33689.746,12924.465,10842,58720,31.688,2833.587,138.713,2503,3120
16,31.688,33869.625,12741.854,12501,58923,31.688,2839.013,140.173,2503,3152
17,31.688,33554.520,13164.491,9549,58843,31.688,2849.933,144.714,2518,3116
18,31.688,33546.398,13119.235,9966,58624,31.688,2842.480,143.619,2487,3110
19,31.688,33546.895,13033.044,9965,59300,31.688,2861.053,140.640,2534,3107
20,31.688,33463.586,13008.907,10120,58744,31.688,2859.000,151.722,2512,3139
21,31.688,33575.375,12917.038,10213,58625,31.688,2858.933,147.071,2492,3101
22,31.688,33637.027,12962.150,10315,59199,31.688,2858.613,157.681,2499,3101
23,31.688,33598.012,13006.841,10230,59001,31.688,2860.507,148.030,2547,3153
24,31.688,33393.121,12968.126,10078,59199,31.688,2848.027,144.440,2514,3107
25,31.688,33531.734,12999.357,10184,58962,31.688,2860.907,144.597,2571,3154
26,31.688,33479.160,12966.917,10297,58605,31.688,2871.187,150.565,2504,3122
27,31.688,33433.441,12884.732,10288,57892,31.688,2860.093,165.664,2501,3150
28,31.688,33420.895,12882.664,10154,57656,31.688,2867.187,146.944,2510,3115
29,31.688,33358.121,12869.663,10356,58425,31.688,2859.493,147.162,2565,3097
30,31.688,33414.746,12934.572,10328,59082,31.688,2858.880,155.062,2480,3159
31,31.688,33365.906,12927.307,10418,58111,31.688,2867.253,155.130,2533,3114
32,31.688,33330.012,12819.313,10183,58128,31.688,2860.960,148.530,2520,3094
33,31.688,33432.625,12904.455,10416,58706,31.688,2870.280,152.869,2467,3143
34,31.688,33339.078,12883.603,10325,58586,31.688,2860.133,161.975,2460,3250
35,31.688,33378.641,12912.096,10481,58920,31.688,2857.080,151.216,2540,3129
36,31.688,33210.254,12825.554,10205,57954,31.688,2865.160,152.532,2551,3279
37,31.688,33260.012,12884.396,10118,57240,31.688,2858.467,163.426,2517,3119
