 ,Area1,Mean1,StdDev1,Min1,Max1,Area2,Mean2,StdDev2,Min2,Max2
1,21.125,15603.140,5629.386,5532,25812,21.125,2264.380,63.325,2158,2431
2,21.125,15390.560,5642.250,5321,25811,21.125,2257.460,69.397,2114,2489
3,21.125,15297.900,5658.061,5224,25529,21.125,2259.340,67.838,2128,2426
4,21.125,15377.160,5520.505,6044,25460,21.125,2248.040,67.956,2156,2479
5,21.125,15385.560,5505.576,6217,25267,21.125,2258.600,60.306,2162,2412
6,21.125,15329.300,5466.484,6095,25278,21.125,2245.180,64.799,2107,2397
7,21.125,15203.780,5646.651,5322,25042,21.125,2251.060,67.867,2149,2411
8,21.125,15234.780,5577.575,5460,25077,21.125,2262.880,69.268,2143,2463
9,21.125,15246.120,5505.960,5436,24905,21.125,2269.520,63.522,2145,2449
10,21.125,15321.340,5477.616,5695,25023,21.125,2260.620,74.095,2136,2452
11,21.125,15318.440,5454.125,5766,24977,21.125,2260.080,71.752,2108,2436
12,21.125,15251.520,5410.130,5750,24803,21.125,2254.420,69.035,2136,2451
13,21.125,15295.480,5480.090,5500,25221,21.125,2251.480,71.723,2118,2421
14,21.125,15213.440,5541.755,5344,24950,21.125,2259.420,77.487,2135,2449
15,21.125,15363.060,5433.791,6661,25184,21.125,2254.860,63.479,2134,2425
16,21.125,15336.340,5480.680,6901,25724,21.125,2238.340,58.013,2123,2442
17,21.125,15321.160,5460.874,6530,25176,21.125,2216.180,58.824,2098,2362
18,21.125,15283.060,5435.860,6371,25193,21.125,2230.720,53.424,2129,2356
19,21.125,15295.800,5425.192,6646,25230,21.125,2235.420,57.615,2093,2375
20,21.125,15264.740,5448.928,6624,25302,21.125,2235.560,67.702,2100,2433
21,21.125,15285.220,5386.078,6522,24835,21.125,2242.680,56.449,2109,2411
22,21.125,15272.880,5391.879,6445,24882,21.125,2240.820,59.931,2149,2407
23,21.125,15269.300,5345.135,6516,24820,21.125,2245.180,53.264,2119,2348
24,21.125,15285.860,5362.704,6374,25036,21.125,2233.480,59.744,2132,2353
25,21.125,15286.000,5362.719,6393,25016,21.125,2248.580,63.171,2146,2391
26,21.125,15306.940,5398.279,6366,25288,21.125,2243.340,60.298,2119,2411
27,21.125,15314.500,5425.197,6290,25307,21.125,2251.200,55.646,2133,2459
28,21.125,15325.560,5404.677,6550,25148,21.125,2243.860,53.367,2119,2365
29,21.125,15376.100,5404.182,6550,25050,21.125,2249.480,63.763,2142,2436
30,21.125,15431.440,5417.789,6670,25062,21.125,2245.160,71.091,2125,2416
31,21.125,15391.740,5407.322,6905,25247,21.125,2241.240,59.396,2113,2433
32,21.125,15386.480,5471.821,6915,25145,21.125,2241.720,63.654,2111,2401
33,21.125,15404.780,5477.645,7189,25593,21.125,2250.520,59.593,2111,2413
34,21.125,15370.720,5456.874,7118,25668,21.125,2255.260,71.220,2145,2486
35,21.125,15356.440,5491.090,7038,25199,21.125,2245.580,59.725,2093,2373
36,21.125,15360.060,5559.282,6846,25414,21.125,2246.540,63.357,2144,2405
37,21.125,15335.420,5566.984,6804,25652,21.125,2253.720,64.393,2097,2425
38,21.125,15342.700,5635.342,6633,25275,21.125,2238.980,63.616,2120,2459
39,21.125,15316.200,5652.928,6426,25765,21.125,2242.840,64.025,2088,2425
40,21.125,15287.460,5665.271,6322,25329,21.125,2251.460,56.574,2168,2394
41,21.125,15229.560,5642.101,6149,25095,21.125,2242.580,54.950,2141,2428
42,21.125,15188.220,5665.497,6245,25061,21.125,2244.440,53.037,2125,2386
43,21.125,14920.620,6129.044,3794,25461,21.125,2283.480,77.627,2130,2470
44,21.125,14946.220,6117.111,3738,25002,21.125,2270.440,84.690,2123,2447
45,21.125,14968.980,6169.202,3686,25108,21.125,2272.240,71.095,2128,2479
46,21.125,14963.380,6100.434,3759,25117,21.125,2283.440,83.034,2157,2530
47,21.125,14969.840,6172.456,3827,25314,21.125,2288.200,76.574,2165,2499
48,21.125,14936.480,6024.507,4523,24676,21.125,2267.080,72.410,2144,2465
49,21.125,14949.380,6007.603,4598,24934,21.125,2267.760,73.925,2142,2465
50,21.125,14937.000,5975.411,4529,24968,21.125,2259.240,63.386,2143,2399
51,21.125,14999.680,5995.441,4622,25061,21.125,2260.480,65.372,2145,2467
52,21.125,14978.880,6022.804,4404,25075,21.125,2266.840,78.331,2144,2502
53,21.125,15053.500,6010.295,4520,24791,21.125,2265.420,63.683,2143,2433
54,21.125,15052.780,6022.586,4543,25067,21.125,2264.180,67.793,2168,2466
55,21.125,15051.780,5983.757,4620,24751,21.125,2261.460,64.299,2118,2436
56,21.125,15064.880,5952.824,4485,24899,21.125,2268.420,69.434,2149,2425
57,21.125,15082.580,5926.950,4741,25021,21.125,2265.280,70.217,2159,2424
58,21.125,15129.160,5935.410,4654,24935,21.125,2253.240,66.946,2139,2437
59,21.125,15150.560,5935.171,4859,25125,21.125,2267.400,64.634,2136,2390
60,21.125,15099.400,5893.593,4719,24984,21.125,2267.620,69.542,2157,2416
61,21.125,15110.420,5903.511,4816,25105,21.125,2271.540,65.934,2177,2459
