 ,Area1,Mean1,StdDev1,Min1,Max1,Area2,Mean2,StdDev2,Min2,Max2
1,18.590,16527.227,3655.423,8742,24005,18.590,2608.023,111.813,2450,2890
2,18.590,16145.932,3722.548,7794,23749,18.590,2600.818,99.723,2418,2838
3,18.590,16064.022,3480.820,9562,22868,18.590,2547.477,93.544,2347,2730
4,18.590,16076.522,3450.864,10067,23225,18.590,2552.682,94.473,2409,2786
5,18.590,15981.750,3337.579,9562,22827,18.590,2556.864,102.546,2422,2779
6,18.590,15902.068,3333.432,9285,22499,18.590,2557.932,96.097,2360,2750
7,18.590,15854.250,3362.844,9093,22258,18.590,2569.091,104.613,2383,2826
8,18.590,15775.250,3405.269,8772,22421,18.590,2565.545,104.760,2425,2797
9,18.590,15583.182,3655.422,8434,22459,18.590,2565.000,96.764,2409,2818
10,18.590,15527.818,3587.839,7957,21808,18.590,2573.250,95.850,2346,2778
11,18.590,15523.818,3570.432,8157,22121,18.590,2553.886,95.915,2373,2723
12,18.590,15494.682,3501.054,8110,22124,18.590,2560.455,108.438,2386,2880
13,18.590,15490.409,3541.228,8059,22107,18.590,2562.750,100.830,2378,2809
14,18.590,15502.000,3486.466,8057,22098,18.590,2560.932,99.368,2380,2815
15,18.590,15678.818,3327.497,9365,22392,18.590,2496.886,99.206,2305,2736
16,18.590,15693.204,3337.883,9911,22667,18.590,2504.477,94.247,2339,2754
17,18.590,15693.182,3334.656,9561,22417,18.590,2507.182,112.936,2323,2789
18,18.590,15643.909,3302.202,9554,22285,18.590,2514.091,101.235,2326,2790
19,18.590,15623.637,3369.287,9436,22447,18.590,2495.227,91.398,2374,2747
20,18.590,15632.704,3320.698,9712,22902,18.590,2497.773,90.145,2293,2683
21,18.590,15593.546,3339.508,9569,22386,18.590,2504.455,91.011,2351,2735
22,18.590,15605.613,3280.975,9570,22552,18.590,2505.091,103.279,2354,2735
23,18.590,15638.796,3319.625,9725,22659,18.590,2500.818,94.187,2351,2741
24,18.590,15642.204,3326.659,9718,22876,18.590,2509.295,89.715,2317,2749
25,18.590,15653.546,3248.701,9721,22316,18.590,2508.386,101.645,2349,2729
26,18.590,15623.772,3270.639,9585,22558,18.590,2500.455,92.283,2301,2744
27,18.590,15621.818,3318.989,9574,22692,18.590,2511.273,105.082,2376,2816
28,18.590,15620.682,3263.236,9575,22430,18.590,2492.591,94.672,2300,2680
29,18.590,15620.978,3288.901,9456,22627,18.590,2494.159,94.687,2346,2704
30,18.590,15627.387,3277.258,9636,22441,18.590,2492.841,100.775,2317,2777
31,18.590,15691.272,3280.816,9776,22738,18.590,2505.659,83.996,2342,2742
32,18.590,15644.887,3332.542,9738,22969,18.590,2494.159,94.850,2319,2689
33,18.590,15635.750,3318.905,9626,22521,18.590,2503.045,100.579,2351,2783
34,18.590,15633.387,3259.061,9373,22495,18.590,2504.068,89.093,2354,2728
35,18.590,15668.409,3284.446,9704,22700,18.590,2503.750,83.913,2391,2724
36,18.590,15701.091,3286.941,9671,22636,18.590,2507.682,88.594,2388,2740
37,18.590,15740.204,3313.442,9548,23047,18.590,2510.523,114.124,2326,2833
38,18.590,15740.887,3297.806,9829,22823,18.590,2505.068,98.641,2354,2761
39,18.590,15656.863,3316.997,9596,22799,18.590,2497.727,97.239,2323,2751
40,18.590,15696.818,3321.046,9755,22921,18.590,2508.295,96.797,2337,2726
41,18.590,15673.750,3288.197,9582,22628,18.590,2493.409,95.310,2296,2673
42,18.590,15702.613,3276.628,9817,22573,18.590,2505.182,99.184,2329,2769
43,18.590,15680.046,3284.997,9647,22497,18.590,2498.886,104.244,2314,2787
44,18.590,15747.954,3310.056,9683,22862,18.590,2499.409,85.808,2327,2701
45,18.590,15741.318,3330.547,9332,22959,18.590,2497.386,89.281,2355,2672
46,18.590,15758.887,3317.174,9633,22894,18.590,2504.227,95.262,2363,2758
47,18.590,15804.022,3349.818,9573,23152,18.590,2497.250,89.946,2354,2673
48,18.590,15844.387,3371.301,9263,23235,18.590,2500.523,96.130,2323,2669
49,18.590,15811.068,3398.021,9496,23169,18.590,2491.273,92.034,2294,2692
50,18.590,15852.841,3330.661,9800,23122,18.590,2499.614,98.235,2341,2751
51,18.590,15880.659,3419.962,9695,23269,18.590,2507.023,97.696,2344,2788
52,18.590,15898.478,3359.307,9518,23195,18.590,2495.705,86.698,2317,2691
53,18.590,15875.818,3423.610,9541,23185,18.590,2497.136,90.563,2306,2747
54,18.590,15873.750,3361.490,9628,23515,18.590,2497.114,91.088,2350,2704
55,18.590,15929.637,3400.595,9543,23453,18.590,2508.614,86.994,2356,2730
56,18.590,15869.228,3352.279,9460,23187,18.590,2506.636,95.974,2328,2799
57,18.590,15972.887,3416.659,9380,23388,18.590,2517.545,97.813,2328,2723
58,18.590,16034.363,3413.493,9482,22963,18.590,2505.932,87.214,2345,2681
59,18.590,16071.772,3450.451,9537,23676,18.590,2485.545,92.211,2336,2752
60,18.590,16106.841,3442.771,9369,23395,18.590,2499.614,103.432,2307,2710
61,18.590,16184.682,3528.492,9381,23912,18.590,2494.432,98.377,2334,2723
62,18.590,16266.772,3562.339,9645,23983,18.590,2496.523,92.613,2351,2704
63,18.590,16321.159,3567.689,9238,24162,18.590,2505.432,94.532,2308,2706
64,18.590,16325.159,3567.010,9456,23982,18.590,2511.386,92.578,2373,2728
65,18.590,16400.182,3584.132,9654,24124,18.590,2495.886,90.226,2374,2768
66,18.590,16443.273,3594.055,9580,24203,18.590,2506.273,104.695,2345,2766
67,18.590,16416.045,3569.985,9673,23876,18.590,2500.568,97.026,2303,2724
68,18.590,16487.387,3643.260,9500,24314,18.590,2493.977,102.719,2348,2840
69,18.590,16465.795,3647.059,9593,24484,18.590,2489.705,96.832,2329,2816
70,18.590,16413.955,3649.338,9333,24495,18.590,2501.705,85.743,2348,2739
71,18.590,16467.455,3590.990,9373,24169,18.590,2504.364,97.135,2365,2710
72,18.590,16490.637,3654.680,9513,24222,18.590,2504.909,101.648,2355,2763
73,18.590,16474.342,3614.083,9378,24010,18.590,2496.977,78.167,2351,2694
74,18.590,16469.182,3657.708,9340,24100,18.590,2490.636,92.436,2333,2666
75,18.590,16518.158,3639.144,9368,24254,18.590,2507.568,98.920,2318,2793
76,18.590,16526.545,3642.436,9651,24184,18.590,2507.023,99.459,2350,2758
77,18.590,16586.227,3670.051,9350,24244,18.590,2494.523,99.310,2342,2750
78,18.590,16663.523,3682.020,9581,24771,18.590,2492.409,97.598,2344,2703
79,18.590,16679.387,3694.356,9506,24884,18.590,2493.364,98.982,2354,2730
80,18.590,16745.092,3712.202,9543,24391,18.590,2501.682,96.857,2333,2746
81,18.590,16854.908,3742.372,9745,25141,18.590,2497.159,94.113,2317,2766
82,18.590,16872.387,3759.535,9795,24618,18.590,2488.682,88.905,2345,2718
83,18.590,16884.750,3723.549,9668,24865,18.590,2499.182,87.090,2380,2706
84,18.590,16947.432,3810.338,9730,25334,18.590,2494.114,95.927,2317,2698
85,18.590,17006.773,3795.644,9607,24839,18.590,2492.045,91.010,2325,2687
86,18.590,17031.387,3815.279,9619,24639,18.590,2507.318,93.206,2377,2728
87,18.590,17052.818,3746.157,9649,24527,18.590,2502.682,92.034,2347,2711
88,18.590,17082.068,3808.100,9690,24887,18.590,2499.977,91.868,2303,2720
89,18.590,17095.092,3850.621,9652,25024,18.590,2502.273,95.368,2321,2723
90,18.590,17061.455,3857.140,9561,25507,18.590,2504.886,90.516,2340,2727
91,18.590,17160.682,3863.977,9614,25206,18.590,2490.023,93.347,2328,2758
92,18.590,17177.250,3873.337,9547,25335,18.590,2497.136,100.778,2320,2782
93,18.590,17236.455,3921.971,9552,25499,18.590,2497.864,96.082,2341,2814
94,18.590,17236.000,3940.549,9737,25539,18.590,2495.818,96.368,2281,2736
95,18.590,17309.637,3934.027,9526,25830,18.590,2496.000,82.126,2321,2700
96,18.590,17327.092,3885.932,9700,25472,18.590,2520.159,112.090,2324,2858
97,18.590,17348.773,3924.604,9583,25299,18.590,2501.727,90.999,2298,2706
98,18.590,17379.955,3968.077,9377,25483,18.590,2503.341,94.487,2356,2715
99,18.590,17446.863,4016.661,9749,25590,18.590,2499.250,102.307,2365,2749
100,18.590,17458.545,3976.025,9872,25565,18.590,2488.159,89.268,2348,2721
101,18.590,17436.295,3970.287,9498,25539,18.590,2501.023,82.706,2389,2723
102,18.590,17461.318,3992.744,9872,25822,18.590,2508.682,105.940,2348,2757
103,18.590,17445.727,4027.566,9790,25558,18.590,2497.114,90.209,2353,2726
104,18.590,17442.637,3985.387,9620,26062,18.590,2492.636,92.125,2290,2732
105,18.590,17395.432,3979.315,9727,25640,18.590,2496.227,102.549,2330,2833
106,18.590,17412.227,3963.876,9667,25616,18.590,2501.636,103.363,2309,2715
107,18.590,17345.795,3987.615,9851,25511,18.590,2504.659,87.218,2370,2715
108,18.590,17299.955,3922.996,9501,25341,18.590,2504.864,89.919,2334,2709
109,18.590,17293.863,4017.958,9649,25327,18.590,2507.955,96.625,2324,2752
110,18.590,17285.908,3984.878,9471,25257,18.590,2497.182,93.329,2283,2736
111,18.590,17237.273,3973.958,9474,25386,18.590,2494.205,89.872,2350,2717
112,18.590,17199.932,3909.046,9458,24894,18.590,2490.705,89.425,2327,2686
113,18.590,17130.545,3946.385,9452,25303,18.590,2498.455,86.283,2333,2680
114,18.590,17154.318,3944.662,9522,25151,18.590,2497.409,97.628,2338,2817
115,18.590,17181.932,3916.947,9307,25022,18.590,2489.318,102.799,2326,2749
116,18.590,17189.387,3907.415,9613,25246,18.590,2492.068,92.466,2339,2739
117,18.590,17146.863,3866.644,9568,25053,18.590,2493.909,97.193,2351,2770
118,18.590,17210.568,3880.501,9994,25003,18.590,2502.341,94.071,2333,2732
119,18.590,17150.137,3852.761,9792,25170,18.590,2487.682,96.799,2283,2714
120,18.590,17176.205,3898.973,10035,25163,18.590,2499.523,105.010,2323,2775
121,18.590,17149.750,3791.995,10132,25046,18.590,2483.000,93.791,2339,2754
122,18.590,17074.227,3783.151,10128,25213,18.590,2488.818,97.782,2365,2772
123,18.590,17099.818,3827.229,10104,24957,18.590,2496.636,86.018,2358,2700
124,18.590,17033.205,3801.472,10030,25069,18.590,2487.364,103.061,2318,2743
125,18.590,16992.363,3797.434,9768,24903,18.590,2497.818,96.327,2275,2776
126,18.590,17055.727,3845.029,9795,24982,18.590,2497.864,89.115,2364,2698
127,18.590,16990.887,3793.450,9843,24887,18.590,2483.818,83.782,2323,2678
128,18.590,16962.932,3820.866,9538,25071,18.590,2486.159,81.109,2345,2663
129,18.590,16909.158,3762.126,9560,24580,18.590,2492.727,92.577,2343,2744
130,18.590,16849.432,3775.654,9536,24630,18.590,2490.864,89.614,2289,2710
131,18.590,16786.227,3751.806,9365,24544,18.590,2488.523,95.793,2341,2703
132,18.590,16811.455,3766.834,9496,24339,18.590,2491.023,87.442,2338,2711
133,18.590,16723.023,3738.528,9506,24352,18.590,2476.727,104.343,2268,2709
134,18.590,16733.023,3771.415,9394,24142,18.590,2490.977,96.137,2324,2766
135,18.590,16658.705,3759.586,9376,24196,18.590,2496.477,90.028,2366,2689
136,18.590,16624.250,3765.896,9338,24400,18.590,2486.045,91.423,2357,2755
137,18.590,16690.908,3774.784,9558,24338,18.590,2477.614,92.885,2232,2688
138,18.590,16679.637,3804.846,9377,24431,18.590,2494.045,79.941,2366,2691
139,18.590,16643.977,3785.580,9434,24268,18.590,2494.023,89.272,2303,2730
140,18.590,16644.363,3771.784,9282,24401,18.590,2480.568,83.019,2325,2691
141,18.590,16634.500,3758.015,9320,24343,18.590,2482.386,81.508,2355,2668
142,18.590,16597.158,3775.788,9142,24152,18.590,2487.886,94.363,2271,2744
143,18.590,16520.955,3752.211,9398,24073,18.590,2482.977,81.411,2356,2673
144,18.590,16489.000,3738.753,9388,24024,18.590,2483.909,83.511,2336,2690
145,18.590,16461.613,3730.131,9338,24187,18.590,2487.750,88.980,2347,2748
146,18.590,16477.955,3728.268,9258,24010,18.590,2486.136,95.915,2338,2768
147,18.590,16474.387,3752.988,9108,23965,18.590,2479.477,90.752,2323,2703
148,18.590,16468.092,3699.113,9413,23713,18.590,2480.773,90.431,2298,2651
149,18.590,16552.477,3753.977,9289,24224,18.590,2482.250,92.753,2349,2716
150,18.590,16495.250,3729.095,9275,23880,18.590,2484.386,94.937,2298,2700
151,18.590,16515.908,3730.083,9322,23916,18.590,2480.273,92.530,2324,2667
152,18.590,16454.637,3686.638,9204,23889,18.590,2488.705,83.728,2331,2651
153,18.590,16512.545,3749.856,9211,24043,18.590,2479.227,89.860,2324,2682
154,18.590,16536.477,3741.171,9605,23914,18.590,2479.591,102.296,2274,2732
155,18.590,16575.887,3764.963,9322,24048,18.590,2490.500,101.644,2329,2760
156,18.590,16518.205,3792.535,9342,24246,18.590,2486.727,81.732,2346,2699
157,18.590,16302.613,3991.859,8589,23871,18.590,2487.136,76.451,2353,2653
158,18.590,16290.909,3985.271,8857,24186,18.590,2492.705,89.638,2354,2696
159,18.590,16297.182,3934.175,8631,23722,18.590,2481.727,89.118,2303,2729
160,18.590,16301.682,3948.359,8671,23955,18.590,2486.159,90.498,2343,2697
161,18.590,16298.659,3925.924,8832,23885,18.590,2485.977,93.704,2330,2706
162,18.590,16308.932,3970.315,8518,24216,18.590,2472.477,94.365,2280,2711
163,18.590,16264.250,3937.610,8879,23787,18.590,2484.932,92.835,2313,2726
164,18.590,16210.000,3957.052,8715,23741,18.590,2482.000,82.518,2352,2656
165,18.590,16260.546,3944.360,8778,23931,18.590,2477.182,71.941,2288,2627
166,18.590,16106.591,3925.118,8767,23801,18.590,2480.864,82.139,2352,2669
167,18.590,16147.750,3926.038,8736,23994,18.590,2492.545,90.210,2321,2679
168,18.590,16117.250,3953.029,8594,23854,18.590,2484.568,87.903,2321,2681
169,18.590,16085.704,3909.059,8919,23535,18.590,2482.318,82.211,2330,2671
170,18.590,16082.932,3934.927,8550,23613,18.590,2488.273,86.986,2346,2674
171,18.590,16011.954,3891.268,8609,23413,18.590,2480.886,89.921,2264,2624
172,18.590,16015.068,3902.062,8357,23336,18.590,2485.295,91.797,2281,2698
173,18.590,15963.113,3847.341,8638,23402,18.590,2474.341,85.986,2270,2635
174,18.590,15930.591,3846.573,8409,23256,18.590,2478.386,95.563,2325,2706
175,18.590,15912.296,3836.385,8626,23235,18.590,2489.841,83.798,2319,2676
176,18.590,15908.046,3810.605,8613,23126,18.590,2471.750,89.158,2336,2679
177,18.590,15858.068,3884.235,8518,23363,18.590,2481.773,86.106,2296,2676
178,18.590,15806.818,3828.725,8607,23576,18.590,2476.636,82.345,2344,2648
179,18.590,15819.796,3812.050,8762,23219,18.590,2483.750,79.702,2317,2677
180,18.590,15743.159,3791.945,8638,23170,18.590,2494.091,92.253,2310,2678
181,18.590,15706.750,3757.222,8498,22881,18.590,2477.614,93.774,2310,2653
182,18.590,15716.750,3787.831,8311,22987,18.590,2479.591,89.381,2332,2671
183,18.590,15636.250,3793.976,8506,22794,18.590,2478.273,79.399,2331,2647
184,18.590,15613.546,3713.751,8553,22559,18.590,2474.523,91.941,2303,2676
185,18.590,15590.113,3713.017,8479,22715,18.590,2489.250,91.473,2283,2668
186,18.590,15617.409,3778.414,8477,23022,18.590,2475.159,92.201,2301,2673
187,18.590,15567.228,3742.216,8482,22771,18.590,2488.773,94.614,2352,2695
188,18.590,15537.682,3725.088,8505,22979,18.590,2470.250,98.004,2312,2706
189,18.590,15478.772,3706.677,8530,22612,18.590,2473.250,84.146,2356,2687
190,18.590,15429.182,3707.492,8367,22500,18.590,2474.818,86.177,2271,2642
191,18.590,15331.500,3620.265,8400,22149,18.590,2467.318,93.168,2308,2680
192,18.590,15323.046,3650.727,8490,22128,18.590,2472.045,91.878,2320,2676
193,18.590,15276.978,3609.193,8337,22181,18.590,2477.909,88.811,2315,2667
194,18.590,15280.046,3625.424,8367,22141,18.590,2482.432,98.030,2299,2653
195,18.590,15217.068,3610.976,8287,22049,18.590,2472.545,83.001,2342,2650
196,18.590,15197.568,3550.116,8446,21774,18.590,2472.068,70.190,2343,2610
197,18.590,15199.204,3563.930,8387,21972,18.590,2480.341,93.236,2255,2699
198,18.590,15080.022,3533.762,8497,21592,18.590,2472.568,96.823,2285,2718
199,18.590,15098.909,3558.111,8310,22019,18.590,2478.045,83.705,2301,2658
200,18.590,15064.887,3509.284,8346,21529,18.590,2491.932,82.688,2264,2654
201,18.590,14964.091,3533.786,8301,21604,18.590,2435.750,70.134,2312,2601
202,18.590,14971.272,3532.437,8110,21816,18.590,2406.568,92.565,2241,2599
203,18.590,15125.228,3360.044,9015,21745,18.590,2385.955,84.377,2231,2563
