 ,Area1,Mean1,StdDev1,Min1,Max1,Area2,Mean2,StdDev2,Min2,Max2
1,25.773,13000.049,2050.276,9343,16794,25.773,2654.049,67.450,2495,2791
2,25.773,12787.819,1986.419,9054,16400,25.773,2629.180,71.674,2438,2818
3,25.773,12669.295,1972.216,9122,16297,25.773,2624.656,63.976,2456,2717
4,25.773,12652.181,1982.410,8960,16548,25.773,2624.361,83.990,2430,2835
5,25.773,12607.033,1950.068,9048,16330,25.773,2614.443,66.429,2475,2778
6,25.773,12537.655,1907.746,9032,16276,25.773,2599.541,66.695,2457,2771
7,25.773,12478.754,1897.013,9029,16159,25.773,2584.623,67.681,2415,2718
8,25.773,12481.394,1904.702,8963,16149,25.773,2576.279,65.069,2447,2723
9,25.773,12409.688,1862.793,9033,16228,25.773,2571.934,73.660,2365,2728
10,25.773,12368.787,1875.296,8940,15863,25.773,2559.525,64.080,2418,2715
11,25.773,12347.787,1884.286,8920,15942,25.773,2555.180,65.631,2384,2666
12,25.773,12292.033,1859.370,8879,15769,25.773,2544.557,66.413,2414,2702
13,25.773,12309.853,1816.000,8850,15829,25.773,2537.836,70.057,2380,2705
14,25.773,12293.737,1800.967,8982,15622,25.773,2566.246,68.364,2410,2701
15,25.773,12381.492,1846.724,9200,15989,25.773,2567.328,76.837,2367,2707
16,25.773,12381.328,1885.317,8989,15949,25.773,2577.738,69.350,2410,2715
17,25.773,12398.263,1857.218,9138,15843,25.773,2574.016,70.079,2393,2723
18,25.773,12345.328,1832.487,9180,15738,25.773,2572.377,70.482,2426,2719
19,25.773,12346.951,1820.466,9117,15946,25.773,2576.918,68.460,2426,2734
20,25.773,12342.983,1755.275,9311,15727,25.773,2570.394,67.812,2392,2747
21,25.773,12345.541,1838.209,9006,15875,25.773,2572.853,67.233,2463,2735
22,25.773,12326.524,1813.910,9112,15807,25.773,2567.885,79.358,2370,2712
23,25.773,12298.099,1801.148,9115,15726,25.773,2573.508,68.474,2420,2719
24,25.773,12329.541,1820.996,9096,15901,25.773,2578.295,64.635,2446,2723
25,25.773,12318.131,1786.879,9029,15625,25.773,2565.885,65.599,2394,2691
26,25.773,12299.869,1803.950,8794,15677,25.773,2577.410,76.266,2399,2724
27,25.773,12272.492,1813.301,8982,15799,25.773,2567.443,63.138,2372,2716
28,25.773,12283.754,1805.233,9044,15807,25.773,2577.492,66.706,2392,2718
29,25.773,12240.541,1771.068,8948,15482,25.773,2577.312,65.635,2402,2746
30,25.773,12274.983,1797.255,8739,15820,25.773,2576.902,64.786,2394,2693
31,25.773,12258.394,1815.376,9149,15671,25.773,2575.262,60.977,2427,2705
32,25.773,12227.263,1774.678,8891,15445,25.773,2575.164,70.285,2387,2740
33,25.773,12229.508,1773.033,8817,15527,25.773,2573.787,72.554,2390,2721
34,25.773,12223.885,1773.801,9045,15477,25.773,2565.410,66.016,2405,2720
35,25.773,12221.360,1786.587,9013,15512,25.773,2559.475,81.913,2400,2831
36,25.773,12239.655,1792.180,8898,15750,25.773,2572.541,69.271,2407,2701
37,25.773,12208.640,1782.825,8950,15449,25.773,2567.279,74.998,2399,2748
38,25.773,12254.655,1766.073,8978,15635,25.773,2578.279,75.700,2431,2755
39,25.773,12196.459,1801.721,8942,15681,25.773,2573.049,68.213,2428,2708
40,25.773,12210.836,1765.638,9134,15458,25.773,2560.098,72.888,2383,2701
41,25.773,12199.787,1766.109,8948,15492,25.773,2568.869,71.844,2364,2699
42,25.773,12201.836,1799.827,9051,15590,25.773,2572.508,71.287,2419,2737
43,25.773,12155.065,1763.716,8788,15471,25.773,2564.754,61.834,2393,2694
44,25.773,12184.033,1757.710,9055,15555,25.773,2569.918,62.846,2358,2721
45,25.773,12132.787,1798.565,8768,15561,25.773,2572.082,69.121,2439,2702
46,25.773,12159.640,1785.742,8903,15387,25.773,2567.229,64.384,2386,2705
47,25.773,12171.623,1777.049,8607,15435,25.773,2567.574,62.915,2426,2685
48,25.773,12188.246,1808.544,8818,15721,25.773,2569.836,67.152,2414,2693
49,25.773,12152.459,1825.623,8835,15793,25.773,2566.328,71.237,2432,2692
50,25.773,12193.099,1803.357,8758,15614,25.773,2557.869,69.071,2366,2737
51,25.773,12207.853,1802.282,9023,15641,25.773,2558.312,67.659,2430,2703
52,25.773,12197.476,1786.965,8975,15706,25.773,2567.475,63.131,2389,2715
53,25.773,12178.246,1794.069,8837,15500,25.773,2555.394,65.340,2391,2686
54,25.773,12171.918,1800.411,8833,15701,25.773,2558.836,72.360,2344,2726
55,25.773,12168.640,1782.192,9005,15661,25.773,2557.131,62.158,2427,2698
56,25.773,12182.131,1815.026,8984,15611,25.773,2558.213,65.842,2392,2695
57,25.773,12115.787,1802.396,8813,15609,25.773,2562.164,64.503,2377,2718
58,25.773,12137.672,1833.584,8636,15523,25.773,2574.951,72.063,2383,2714
59,25.773,12125.771,1793.127,8965,15513,25.773,2562.738,62.599,2367,2682
60,25.773,12106.147,1773.788,8877,15338,25.773,2551.754,77.726,2394,2738
61,25.773,12119.459,1799.959,8841,15614,25.773,2552.820,66.972,2391,2735
62,25.773,12103.459,1772.460,8692,15612,25.773,2562.213,74.918,2417,2712
63,25.773,12149.442,1816.857,8777,15567,25.773,2550.033,69.634,2410,2687
64,25.773,12131.328,1791.181,8876,15571,25.773,2565.197,66.338,2438,2700
65,25.773,12094.147,1799.465,8718,15476,25.773,2560.787,73.507,2382,2747
66,25.773,12092.787,1822.936,8797,15413,25.773,2568.016,60.040,2426,2697
67,25.773,12110.541,1808.220,8853,15509,25.773,2573.115,67.654,2419,2743
68,25.773,12092.541,1795.237,8866,15768,25.773,2561.525,77.522,2375,2756
69,25.773,12119.640,1802.720,8723,15366,25.773,2573.639,73.634,2408,2702
70,25.773,12091.935,1804.099,8680,15491,25.773,2559.328,70.524,2379,2719
71,25.773,12088.115,1817.713,8641,15469,25.773,2567.771,81.069,2365,2777
72,25.773,12064.196,1798.973,8832,15439,25.773,2565.557,61.354,2422,2715
73,25.773,12087.196,1802.002,8711,15424,25.773,2571.394,72.574,2412,2736
74,25.773,12083.246,1789.722,8735,15582,25.773,2567.180,70.175,2405,2749
75,25.773,12128.672,1793.909,8785,15382,25.773,2559.049,68.853,2422,2698
76,25.773,12077.672,1783.856,8744,15581,25.773,2543.951,65.924,2359,2733
77,25.773,12081.623,1802.207,8769,15519,25.773,2564.098,75.035,2368,2692
78,25.773,12072.099,1797.663,8583,15350,25.773,2564.557,69.326,2419,2764
79,25.773,12081.804,1790.787,8651,15577,25.773,2558.623,62.889,2401,2681
80,25.773,12055.771,1820.354,8593,15395,25.773,2562.869,77.015,2409,2802
81,25.773,12068.278,1813.575,8795,15434,25.773,2565.738,65.169,2423,2703
82,25.773,12069.082,1833.109,8623,15733,25.773,2566.164,59.974,2426,2702
83,25.773,12114.246,1801.956,8552,15689,25.773,2556.934,66.336,2373,2713
84,25.773,12076.819,1807.636,8649,15459,25.773,2572.197,73.527,2367,2710
85,25.773,12093.295,1819.189,8603,15620,25.773,2561.246,57.946,2428,2682
86,25.773,12097.442,1849.272,8457,15414,25.773,2555.951,68.166,2429,2732
87,25.773,12113.459,1820.894,8604,15657,25.773,2549.344,76.562,2399,2735
88,25.773,12119.394,1800.322,8513,15592,25.773,2559.246,70.455,2412,2769
89,25.773,12134.426,1838.103,8769,15697,25.773,2559.934,82.032,2369,2736
90,25.773,12172.918,1846.280,8778,15657,25.773,2557.066,65.710,2404,2686
91,25.773,12171.394,1825.514,8747,15573,25.773,2567.115,61.026,2402,2688
92,25.773,12177.394,1807.582,8762,15774,25.773,2557.721,62.050,2393,2725
93,25.773,12195.099,1832.916,8697,15465,25.773,2565.492,76.544,2365,2735
94,25.773,12161.590,1829.808,8695,15711,25.773,2558.361,77.052,2366,2765
95,25.773,12207.819,1846.223,8782,15417,25.773,2556.754,60.267,2420,2692
96,25.773,12140.737,1794.966,8793,15359,25.773,2554.951,64.127,2432,2713
97,25.773,12190.000,1839.520,8655,15769,25.773,2558.180,76.134,2367,2704
98,25.773,12190.590,1865.547,8651,15778,25.773,2556.328,66.479,2403,2687
99,25.773,12149.131,1798.649,8541,15419,25.773,2556.000,61.213,2374,2691
100,25.773,12179.033,1823.517,8677,15767,25.773,2552.426,73.754,2362,2713
101,25.773,12164.476,1846.041,8730,15795,25.773,2550.508,61.928,2414,2689
102,25.773,12139.688,1803.752,8732,15762,25.773,2554.771,70.845,2349,2747
103,25.773,12159.901,1836.447,8806,15637,25.773,2558.902,67.344,2383,2692
104,25.773,12155.213,1833.773,8516,15596,25.773,2553.787,68.959,2359,2684
105,25.773,12128.640,1832.672,8651,15681,25.773,2548.131,67.378,2400,2694
106,25.773,12141.017,1841.942,8602,15526,25.773,2567.803,70.398,2410,2721
107,25.773,12107.885,1822.073,8561,15352,25.773,2555.164,62.632,2416,2706
108,25.773,12093.377,1843.192,8574,15735,25.773,2544.951,71.561,2399,2701
109,25.773,12111.312,1815.980,8672,15506,25.773,2545.082,69.267,2363,2708
110,25.773,12160.590,1859.860,8613,15697,25.773,2547.066,73.710,2340,2727
111,25.773,12191.672,1856.998,8619,15752,25.773,2562.344,67.802,2398,2705
112,25.773,12173.229,1858.643,8662,15710,25.773,2550.213,59.729,2406,2695
113,25.773,12196.737,1883.750,8672,15712,25.773,2544.902,72.376,2366,2707
114,25.773,12180.754,1876.719,8591,15823,25.773,2550.525,73.429,2326,2710
115,25.773,12214.410,1911.183,8642,16102,25.773,2538.656,67.234,2391,2679
116,25.773,12186.164,1882.531,8705,15739,25.773,2551.328,64.567,2392,2712
117,25.773,12157.737,1863.449,8609,15789,25.773,2553.688,71.633,2426,2734
118,25.773,12126.508,1864.856,8468,15491,25.773,2551.606,60.731,2395,2681
119,25.773,12115.278,1854.420,8609,15634,25.773,2549.623,64.848,2400,2716
120,25.773,12159.754,1897.057,8600,15909,25.773,2550.836,66.583,2424,2726
121,25.773,12149.410,1887.447,8584,15728,25.773,2556.344,67.901,2388,2685
122,25.773,12145.983,1888.204,8547,15806,25.773,2547.033,70.241,2387,2676
123,25.773,12195.312,1897.099,8598,15704,25.773,2549.590,69.777,2375,2690
124,25.773,12162.935,1915.365,8485,15903,25.773,2546.394,66.269,2386,2726
125,25.773,12179.754,1893.887,8622,15633,25.773,2541.033,65.043,2384,2728
126,25.773,12161.082,1906.683,8677,15820,25.773,2548.721,69.193,2370,2704
127,25.773,12160.574,1892.806,8519,15772,25.773,2551.836,66.443,2401,2683
128,25.773,12122.705,1926.453,8546,15674,25.773,2547.574,63.299,2391,2669
129,25.773,12100.771,1882.881,8389,15374,25.773,2555.459,66.171,2385,2700
130,25.773,12145.263,1878.952,8481,15843,25.773,2554.066,71.675,2390,2700
131,25.773,12128.360,1919.061,8565,15710,25.773,2543.967,71.863,2378,2670
132,25.773,12117.246,1898.296,8507,15902,25.773,2538.853,65.914,2398,2664
133,25.773,12147.442,1938.968,8528,15709,25.773,2544.279,70.720,2378,2704
134,25.773,12128.672,1906.931,8457,15765,25.773,2551.705,69.788,2373,2736
135,25.773,12077.901,1912.287,8491,15913,25.773,2546.426,72.017,2361,2759
136,25.773,12083.147,1921.555,8323,15647,25.773,2539.082,68.627,2401,2687
137,25.773,12084.983,1898.430,8353,15678,25.773,2540.082,64.515,2364,2697
138,25.773,12071.442,1923.040,8474,15669,25.773,2551.180,60.334,2422,2733
139,25.773,12047.672,1890.582,8481,15607,25.773,2549.197,72.001,2366,2740
140,25.773,12077.181,1908.322,8266,15527,25.773,2541.328,62.617,2405,2689
141,25.773,12077.853,1901.902,8617,15506,25.773,2536.197,72.024,2354,2721
142,25.773,12062.869,1922.677,8507,15587,25.773,2547.492,65.218,2363,2710
143,25.773,12050.541,1919.989,8448,15412,25.773,2545.918,61.471,2381,2686
144,25.773,12055.033,1936.619,8336,15870,25.773,2547.869,59.778,2416,2691
145,25.773,12023.115,1892.955,8367,15518,25.773,2555.213,76.045,2385,2715
146,25.773,12026.787,1909.023,8238,15745,25.773,2544.672,60.716,2411,2704
147,25.773,11990.688,1917.337,8457,15810,25.773,2543.246,61.486,2409,2663
148,25.773,11987.345,1886.164,8385,15633,25.773,2549.525,56.819,2383,2654
149,25.773,11972.196,1936.787,8286,15691,25.773,2554.147,64.803,2422,2724
150,25.773,12007.263,1894.111,8458,15527,25.773,2533.426,60.652,2366,2667
151,25.773,11993.655,1916.815,8230,15682,25.773,2534.295,65.172,2376,2670
152,25.773,11980.246,1901.727,8166,15530,25.773,2541.787,65.948,2348,2688
153,25.773,11995.131,1901.213,8370,15633,25.773,2538.508,62.651,2394,2672
154,25.773,11995.099,1910.535,8378,15702,25.773,2544.934,61.326,2427,2718
155,25.773,11954.722,1876.693,8302,15546,25.773,2541.721,62.446,2391,2691
156,25.773,11966.819,1906.234,8269,15661,25.773,2542.590,61.902,2387,2672
157,25.773,11983.771,1887.996,8567,15532,25.773,2527.049,64.671,2383,2644
158,25.773,12007.065,1920.510,8298,15669,25.773,2542.590,64.932,2398,2670
159,25.773,11980.901,1898.190,8227,15487,25.773,2540.295,67.878,2392,2713
160,25.773,11917.213,1886.137,8343,15575,25.773,2552.246,64.537,2400,2682
161,25.773,11955.328,1898.229,8252,15607,25.773,2532.066,64.883,2378,2662
162,25.773,11914.754,1897.774,8302,15378,25.773,2536.000,72.412,2380,2698
163,25.773,11877.524,1871.688,8223,15273,25.773,2537.361,64.645,2414,2701
164,25.773,11930.640,1877.212,8440,15355,25.773,2542.443,68.886,2424,2698
165,25.773,11884.147,1872.845,8391,15396,25.773,2543.606,70.303,2324,2697
166,25.773,11875.328,1878.730,8057,15389,25.773,2535.738,67.323,2378,2678
167,25.773,11832.017,1896.743,8204,15124,25.773,2547.803,63.601,2406,2725
168,25.773,11875.410,1868.758,8262,15491,25.773,2531.902,57.546,2431,2702
169,25.773,11848.115,1894.938,8248,15458,25.773,2544.246,68.903,2365,2668
170,25.773,11815.853,1895.733,8060,15387,25.773,2534.066,62.267,2391,2724
171,25.773,11800.459,1878.476,8200,15382,25.773,2533.115,66.142,2405,2728
172,25.773,11816.147,1875.631,8086,15320,25.773,2536.033,60.531,2383,2648
173,25.773,11803.885,1851.724,8253,15199,25.773,2541.082,69.572,2332,2659
174,25.773,11768.459,1885.348,8220,15223,25.773,2522.410,61.404,2349,2702
175,25.773,11753.787,1866.479,8186,15125,25.773,2529.541,66.249,2379,2671
176,25.773,11723.033,1923.091,8065,15287,25.773,2534.475,56.603,2431,2675
177,25.773,11734.360,1864.703,8063,15126,25.773,2532.131,67.764,2357,2658
178,25.773,11660.655,1898.843,7854,15299,25.773,2525.344,67.005,2352,2699
179,25.773,11687.558,1918.761,7671,15001,25.773,2521.016,69.654,2386,2664
180,25.773,11707.836,1886.484,8078,15290,25.773,2523.688,64.620,2359,2656
181,25.773,11678.131,1967.498,7501,15278,25.773,2527.475,63.128,2404,2665
182,25.773,11692.935,1920.120,7665,15109,25.773,2527.525,69.296,2333,2682
183,25.773,11665.918,1904.194,7691,15079,25.773,2521.033,66.655,2351,2724
184,25.773,11691.410,1928.447,7614,15274,25.773,2516.803,68.069,2344,2682
185,25.773,11672.049,1878.738,7841,15248,25.773,2517.066,67.461,2334,2643
186,25.773,11665.295,1925.740,7676,15334,25.773,2512.098,61.351,2356,2619
187,25.773,11648.115,1894.125,7704,15031,25.773,2518.082,64.137,2338,2666
188,25.773,11625.623,1884.839,7855,15133,25.773,2504.918,65.925,2316,2702
189,25.773,11640.640,1904.312,7505,15222,25.773,2524.820,60.524,2343,2654
190,25.773,11602.164,1858.977,7843,15063,25.773,2516.180,60.975,2385,2647
191,25.773,11560.312,1883.112,7606,15028,25.773,2518.361,66.519,2358,2643
192,25.773,11606.377,1868.605,7727,14883,25.773,2519.984,64.938,2376,2653
193,25.773,11617.655,1880.165,7743,15256,25.773,2528.984,62.694,2369,2685
194,25.773,11602.541,1904.107,7730,14911,25.773,2524.147,57.615,2385,2667
195,25.773,11598.229,1899.495,7678,15135,25.773,2523.344,63.179,2383,2665
196,25.773,11572.574,1878.422,7900,15092,25.773,2529.853,72.554,2349,2679
197,25.773,11577.935,1884.913,7669,15182,25.773,2524.377,75.169,2388,2712
198,25.773,11521.853,1853.138,7894,14795,25.773,2518.312,62.735,2344,2704
199,25.773,11521.819,1841.271,7690,14929,25.773,2521.443,63.702,2366,2669
